rank,logit,path
0,0.57933,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_21039.JPEG
1,0.55793,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_956.JPEG
2,0.51585,.cache_imagenette/imagenette2-320/train/n02979186/n02979186_14758.JPEG
3,0.51231,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_20957.JPEG
4,0.50339,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_5934.JPEG
5,0.47383,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_10357.JPEG
6,0.46988,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_2035.JPEG
7,0.46672,.cache_imagenette/imagenette2-320/train/n03394916/n03394916_30648.JPEG
8,0.45481,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_15726.JPEG
9,0.45264,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_32977.JPEG
10,0.44472,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_13645.JPEG
11,0.43968,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_12079.JPEG
12,0.41276,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_57417.JPEG
13,0.40521,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_29983.JPEG
14,0.40509,.cache_imagenette/imagenette2-320/train/n02979186/n02979186_13209.JPEG
15,0.40147,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_4015.JPEG
16,0.39706,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_8755.JPEG
17,0.39454,.cache_imagenette/imagenette2-320/train/n03394916/n03394916_1915.JPEG
18,0.39360,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_5153.JPEG
19,0.39285,.cache_imagenette/imagenette2-320/train/n03028079/ILSVRC2012_val_00016873.JPEG
20,0.39266,.cache_imagenette/imagenette2-320/train/n03394916/n03394916_38313.JPEG
21,0.39182,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_5448.JPEG
22,0.38797,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_10515.JPEG
23,0.38794,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_27253.JPEG
24,0.38784,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_39103.JPEG
25,0.38710,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_12249.JPEG
26,0.38584,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_35048.JPEG
27,0.38454,.cache_imagenette/imagenette2-320/train/n03028079/ILSVRC2012_val_00039506.JPEG
28,0.38399,.cache_imagenette/imagenette2-320/train/n03394916/n03394916_34333.JPEG
29,0.37934,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_9637.JPEG
30,0.37786,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_29714.JPEG
31,0.37465,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_72239.JPEG
32,0.37379,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_28806.JPEG
33,0.37350,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_16749.JPEG
34,0.37116,.cache_imagenette/imagenette2-320/train/n02979186/n02979186_14278.JPEG
35,0.36884,.cache_imagenette/imagenette2-320/train/n03394916/n03394916_35667.JPEG
36,0.36667,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_10157.JPEG
37,0.36624,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_13037.JPEG
38,0.36586,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_1076.JPEG
39,0.36524,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_9484.JPEG
40,0.36505,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_23914.JPEG
41,0.36240,.cache_imagenette/imagenette2-320/train/n02979186/n02979186_17764.JPEG
42,0.36235,.cache_imagenette/imagenette2-320/train/n03028079/n03028079_8479.JPEG
